Date,log_return,label
2025-10-24,-0.007871361907069385,0
2025-10-23,-0.005810473980595532,0
2025-10-22,0.0053518056988171026,1
2025-10-21,-3.2664017913575094e-05,0
2025-10-20,-0.01061570636531961,0
2025-10-17,-0.005256882598063228,0
2025-10-16,0.00631424497513855,1
2025-10-15,-0.004017918538789189,0
2025-10-14,0.0015655280311612785,1
2025-10-13,-0.01547819498378189,0
2025-10-10,0.027485959970572793,1
2025-10-09,0.0027593218696981836,1
2025-10-08,-0.005810693412792389,0
2025-10-07,0.0038186963112334382,1
2025-10-06,-0.003639996973882731,0
2025-10-03,-6.551938259136136e-05,0
2025-10-02,-0.0006181781816128051,0
2025-10-01,-0.0033941192284689947,0
2025-09-30,-0.004082503589616593,0
2025-09-29,-0.0026321125222388275,0
2025-09-26,-0.005884492261081675,0
2025-09-25,0.0050216489054655256,1
2025-09-24,0.0028507212670838555,1
2025-09-23,0.0055173400928314464,1
2025-09-22,-0.004400330199851865,0
2025-09-19,-0.00487353856235373,0
2025-09-18,-0.004777708522363255,0
2025-09-17,0.0009706893488914403,1
2025-09-16,0.001288757435196075,1
2025-09-15,-0.004695616136135783,0
2025-09-12,0.0004828512001093799,1
2025-09-11,-0.00845006098923129,0
2025-09-10,-0.0029790012563317703,0
2025-09-09,-0.002684552987744837,0
2025-09-08,-0.00210377948614493,0
2025-09-05,0.0031701606545500027,1
2025-09-04,-0.008311798740471943,0
2025-09-03,-0.005087154738689037,0
2025-09-02,0.006946392429263426,1
2025-08-29,0.006418725150927784,1
2025-08-28,-0.0031517534019496196,0
2025-08-27,-0.0023881364585491838,0
2025-08-26,-0.004125455473914741,0
2025-08-25,0.00427546108007526,1
2025-08-22,-0.015072248733122962,0
2025-08-21,0.004012241056242871,1
2025-08-20,0.0024345787627044757,1
2025-08-19,0.005875362532782091,1
2025-08-18,0.00010078339718333496,1
2025-08-15,0.002901303595573168,1
2025-08-14,-0.0003030509210582011,0
2025-08-13,-0.0032248249415864905,0
2025-08-12,-0.01128162608098826,0
2025-08-11,0.002507268470623103,1
2025-08-08,-0.007769424248420975,0
2025-08-07,0.0007977889372803304,1
2025-08-06,-0.00725550368351513,0
2025-08-05,0.004869703735275621,1
2025-08-04,-0.014629536175940316,0
2025-08-01,0.016121328046944328,1
2025-07-31,0.0037016989606790673,1
2025-07-30,0.0012502200507658046,1
2025-07-29,0.002963805680808562,1
2025-07-28,-0.00017686081491241623,0
2025-07-25,-0.003966444948062531,0
2025-07-24,-0.00069798922208264,0
