Date,Open,High,Low,Close
2025/10/24,6772.07,6807.11,6772.07,6791.69
2025/10/23,6703.65,6749.53,6700.14,6738.44
2025/10/22,6741.34,6741.75,6655.69,6699.4
2025/10/21,6736.75,6752.16,6722.03,6735.35
2025/10/20,6690.05,6744.35,6690.05,6735.13
2025/10/17,6613.27,6678.88,6603.76,6664.01
2025/10/16,6689.02,6709.34,6593.99,6629.07
2025/10/15,6688.27,6724.12,6612.11,6671.06
2025/10/14,6602.49,6680.7,6555.07,6644.31
2025/10/13,6622.53,6668.68,6620.71,6654.72
2025/10/10,6740.49,6762.4,6550.78,6552.51
2025/10/9,6760.5,6764.58,6716.17,6735.11
2025/10/8,6723.87,6755.64,6718.09,6753.72
2025/10/7,6746.14,6754.49,6699.96,6714.59
2025/10/6,6733.86,6749.52,6717.78,6740.28
2025/10/3,6722.14,6750.87,6705.67,6715.79
2025/10/2,6731.31,6731.94,6693.23,6715.35
2025/10/1,6664.92,6718.48,6656.2,6711.2
2025/9/30,6656.19,6691.25,6641,6688.46
2025/9/29,6661.58,6677.31,6644.49,6661.21
2025/9/26,6615.38,6648.97,6604.43,6643.7
2025/9/25,6608.19,6619,6569.22,6604.72
2025/9/24,6669.79,6672.66,6621.76,6637.97
2025/9/23,6692.44,6699.52,6645.58,6656.92
2025/9/22,6654.28,6698.88,6648.07,6693.75
2025/9/19,6647.11,6671.82,6630.31,6664.36
2025/9/18,6626.85,6656.8,6611.89,6631.96
2025/9/17,6604.87,6624.39,6551.15,6600.35
2025/9/16,6624.13,6626.99,6600.11,6606.76
2025/9/15,6603.49,6619.62,6602.07,6615.28
2025/9/12,6590.66,6600.21,6579.49,6584.29
2025/9/11,6554.41,6592.89,6545.8,6587.47
2025/9/10,6550.29,6555.97,6516.34,6532.04
2025/9/9,6503.33,6518.23,6483.08,6512.61
2025/9/8,6498.09,6508.67,6483.29,6495.15
2025/9/5,6529.08,6532.65,6443.98,6481.5
2025/9/4,6456.6,6502.54,6445.98,6502.08
2025/9/3,6445.82,6453.67,6416.17,6448.26
2025/9/2,6401.51,6416.54,6360.58,6415.54
2025/8/29,6489.28,6491.76,6444.57,6460.26
2025/8/28,6483.84,6508.23,6466.96,6501.86
2025/8/27,6462.26,6487.06,6457.84,6481.4
2025/8/26,6435.49,6468.37,6429.21,6465.94
2025/8/25,6457.67,6466.89,6438.06,6439.32
2025/8/22,6384.59,6478.89,6384.59,6466.91
2025/8/21,6380.83,6393.65,6352.71,6370.17
2025/8/20,6406.62,6408.4,6343.86,6395.78
